Month,Duration,Year,Min Temperature,Max Temperature ,Temperature Difference,Minimum RH,Maximum RH,RH Diff,Rainfall,Number of Rainy Days,Class Label,num_Class_Label
January,1 to 7,2014,18,30,12,62,93,31,16.2,1,FALSE,0
January,8 to 14,2014,17,30,13,62,92,30,0,0,FALSE,0
January,15 to 21,2014,17,30,13,61,94,33,0,0,FALSE,0
January,22 to 28,2014,18,32,14,59,91,32,0,0,FALSE,0
January to February,29 to 4,2014,19,32,13,59,93,34,0,0,TRUE,1
February,5 to 11,2014,20,31,11,60,91,31,0,0,TRUE,1
February,12 to 18,2014,16,31,15,60,90,30,0,0,FALSE,0
February,19 to 25,2014,19,32,13,59,87,28,0,0,TRUE,1
February March,26 to 4,2014,20,32,12,59,83,24,0,0,TRUE,1
March,5 to 11,2014,21,32,11,58,82,24,0,0,TRUE,1
March,12 to 18,2014,21,32,11,58,83,25,15.6,1,TRUE,1
March,19 to 25,2014,21,34,13,55,84,29,0,0,TRUE,1
March to April,26 to1,2014,22,32,10,56,83,27,0,0,TRUE,1
April,2 to 8,2014,22,34,12,54,86,32,0,0,TRUE,1
April,9 to 15,2014,22,34,12,53,82,29,0,0,TRUE,1
April,16 to 22,2014,22,33,11,53,80,27,15.6,1,TRUE,1
April,23 to 29,2014,21,34,13,52,76,24,33.8,2,TRUE,1
April to May, 30 to 6,2014,20,31,11,55,91,36,0,0,TRUE,1
May,7 to 13,2014,19,32,13,54,86,32,0,0,TRUE,1
May,14 to 20,2014,20,32,12,53,82,29,21.6,1,TRUE,1
May,21 to 27,2014,20,32,12,54,87,33,43.5,1,TRUE,1
May to June,28 to 3,2014,19,32,13,54,93,39,28.8,1,TRUE,1
June,4 to 10,2014,20,31,11,56,93,37,5.3,0,TRUE,1
June,11 to 17,2014,22,30,8,57,92,35,6,0,TRUE,1
June,18 to 24,2014,21,29,8,59,93,34,9.6,0,TRUE,1
June July,25 to 1,2014,20,28,8,60,91,31,21.3,1,TRUE,1
July,2 to 8,2014,20,27,7,63,91,28,59.5,2,TRUE,1
July,9 to 15,2014,21,28,7,63,92,29,15.1,0,TRUE,1
July,16 to 22,2014,21,26,5,66,92,26,46.1,2,TRUE,1
July,23 to 29,2014,21,25,4,65,94,29,68.6,4,TRUE,1
July August,30 to 5,2014,21,25,4,66,91,25,44.5,2,TRUE,1
